player,team,position,price,next_opponent,minutes_avg,xg90,xa90,attack_raw,value_raw,fixture_home,score,rank_position
James Tarkowski,EVE,DEF,5.7,MUN (H),90.00,0.073,0.052,0.109400,0.019193,1,0.559897,19
Sepp van den Berg,BRE,DEF,4.5,BHA (H),64.60,0.111,0.046,0.143200,0.031822,1,0.555730,20
Enzo Fernández,CHE,MID,6.9,BUR (H),88.80,0.416,0.276,0.609200,0.088290,1,0.932899,1
Cole Palmer,CHE,MID,10.6,BUR (H),66.00,0.638,0.076,0.691200,0.065208,1,0.841776,2
Bruno Borges Fernandes,MUN,MID,9.8,EVE (A),90.00,0.370,0.304,0.582800,0.059469,0,0.797890,3
Harvey Barnes,NEW,MID,6.1,MCI (A),86.40,0.413,0.151,0.518700,0.085033,0,0.796341,4
Antoine Semenyo,MCI,MID,7.9,NEW (H),90.00,0.380,0.120,0.464000,0.058734,1,0.756277,5
Cody Gakpo,LIV,MID,7.3,NFO (A),79.60,0.327,0.274,0.518800,0.071068,0,0.733515,6
Amine Adli,BOU,MID,5.4,WHU (A),80.80,0.382,0.117,0.463900,0.085907,0,0.733227,7
Omar Marmoush,MCI,MID,8.3,NEW (H),35.80,0.437,0.314,0.656800,0.079133,1,0.721259,8
Bryan Mbeumo,MUN,MID,8.6,EVE (A),80.80,0.414,0.161,0.526700,0.061244,0,0.720677,9
Anthony Gordon,NEW,MID,7.2,MCI (A),61.00,0.394,0.230,0.555000,0.077083,0,0.696444,10
Ismaïla Sarr,CRY,MID,6.4,WOL (H),71.40,0.416,0.042,0.445400,0.069594,1,0.689565,11
Dango Ouattara,BRE,MID,5.8,BHA (H),61.00,0.347,0.162,0.460400,0.079379,1,0.680507,12
Rayan Cherki,MCI,MID,6.5,NEW (H),46.60,0.182,0.488,0.523600,0.080554,1,0.669926,13
Mohamed Salah,LIV,MID,14.0,NFO (A),70.60,0.379,0.280,0.575000,0.041071,0,0.664728,14
Marcus Edwards,BUR,MID,4.7,CHE (A),75.80,0.222,0.256,0.401200,0.085362,0,0.663233,15
Brenden Aaronson,LEE,MID,5.4,AVL (A),82.20,0.250,0.209,0.396300,0.073389,0,0.657597,16
Rayan Vitor Simplício Rocha,BOU,MID,5.5,WHU (A),66.00,0.227,0.327,0.455900,0.082891,0,0.656911,17
Morgan Gibbs-White,NFO,MID,7.3,LIV (H),85.20,0.293,0.115,0.373500,0.051164,1,0.649018,18
Florian Wirtz,LIV,MID,8.4,NFO (A),89.20,0.280,0.189,0.412300,0.049083,0,0.640295,19
Kevin Schade,BRE,MID,6.9,BHA (H),42.40,0.385,0.191,0.518700,0.075174,1,0.635269,20
Erling Haaland,MCI,FWD,14.9,NEW (H),64.20,0.909,0.179,1.034300,0.069416,1,0.749416,1
Lorenzo Lucca,NFO,FWD,5.5,LIV (H),35.33,0.949,0.000,0.949000,0.172545,1,0.718303,2
Igor Thiago Nascimento Rodrigues,BRE,FWD,7.0,BHA (H),90.00,0.595,0.041,0.623700,0.089100,1,0.657172,3
Valentín Castellanos,WHU,FWD,5.5,BOU (H),77.00,0.511,0.043,0.541100,0.098382,1,0.567979,4
Dominic Calvert-Lewin,LEE,FWD,5.9,AVL (A),70.80,0.580,0.071,0.629700,0.106729,0,0.552288,5
Hugo Ekitiké,LIV,FWD,8.9,NFO (A),76.20,0.514,0.112,0.592400,0.066562,0,0.499981,6
Ollie Watkins,AVL,FWD,8.6,LEE (H),67.60,0.501,0.060,0.543000,0.063140,1,0.480911,7
Thierno Barry,EVE,FWD,5.7,MUN (H),77.60,0.391,0.053,0.428100,0.075105,1,0.475775,8
Raúl Jiménez Rodríguez,FUL,FWD,6.1,SUN (A),80.00,0.451,0.037,0.476900,0.078180,0,0.467496,9
Danny Welbeck,BHA,FWD,6.1,BRE (A),66.20,0.520,0.046,0.552200,0.090525,0,0.467271,10
João Pedro Junqueira de Jesus,CHE,FWD,7.7,BUR (H),73.20,0.419,0.079,0.474300,0.061597,1,0.464400,11
Jarrod Bowen,WHU,FWD,7.6,BOU (H),87.80,0.274,0.119,0.357300,0.047013,1,0.441704,12
Junior Kroupi,BOU,FWD,4.7,WHU (A),60.00,0.453,0.061,0.495700,0.105468,0,0.429465,13
Jean-Philippe Mateta,CRY,FWD,7.5,WOL (H),34.80,0.599,0.051,0.634700,0.084627,1,0.420939,14
Francisco Evanilson de Lima Barbosa,BOU,FWD,7.0,WHU (A),82.00,0.364,0.046,0.396200,0.056600,0,0.401639,15
Brian Brobbey,SUN,FWD,5.5,FUL (H),85.20,0.239,0.049,0.273300,0.049691,1,0.387275,16
Dominic Solanke-Mitchell,TOT,FWD,7.2,ARS (H),75.20,0.265,0.035,0.289500,0.040208,1,0.340633,17
Zian Flemming,BUR,FWD,5.3,CHE (A),33.00,0.521,0.033,0.544100,0.102660,0,0.337113,18
Tammy Abraham,AVL,FWD,6.0,LEE (H),36.33,0.424,0.052,0.460400,0.076733,1,0.319367,19
Yoane Wissa,NEW,FWD,7.3,MCI (A),33.00,0.539,0.030,0.560000,0.076712,0,0.310738,20
