player,team,position,price,minutes_avg,goals,assists,xg90,xa90,next_opponent
Riccardo Calafiori,ARS,DEF,5.6,18.00,1,2,0.165,0.025,TOT (A)
Jurriën Timber,ARS,DEF,6.4,72.00,2,4,0.144,0.093,TOT (A)
Gabriel dos Santos Magalhães,ARS,DEF,7.1,72.00,3,2,0.097,0.046,TOT (A)
Benjamin White,ARS,DEF,5.1,6.40,0,1,0.095,0.108,TOT (A)
William Saliba,ARS,DEF,6.1,54.00,0,0,0.029,0.020,TOT (A)
Myles Lewis-Skelly,ARS,DEF,5.1,0.00,0,0,0.022,0.039,TOT (A)
Piero Hincapié,ARS,DEF,5.1,46.80,0,1,0.000,0.048,TOT (A)
Cristhian Mosquera,ARS,DEF,5.3,18.00,0,0,0.000,0.010,TOT (A)
Brayden Clarke,ARS,DEF,3.8,0.00,0,0,0.000,0.000,TOT (A)
Jakub Kiwior,ARS,DEF,5.4,0.00,0,0,0.000,0.000,TOT (A)
Josh Nichols,ARS,DEF,3.7,0.00,0,0,0.000,0.000,TOT (A)
Maldini Kacurri,ARS,DEF,3.9,0.00,0,0,0.000,0.000,TOT (A)
Marli Salmon,ARS,DEF,4.0,0.00,0,0,0.000,0.000,TOT (A)
Gabriel Fernando de Jesus,ARS,FWD,6.4,26.00,2,0,0.565,0.058,TOT (A)
Viktor Gyökeres,ARS,FWD,8.8,45.40,8,0,0.451,0.073,TOT (A)
Kai Havertz,ARS,FWD,7.3,25.20,0,1,0.095,0.102,TOT (A)
David Raya Martín,ARS,GKP,5.9,72.00,0,0,0.000,0.002,TOT (A)
Karl Hein,ARS,GKP,4.0,0.00,0,0,0.000,0.000,TOT (A)
Kepa Arrizabalaga Revuelta,ARS,GKP,4.1,0.00,0,0,0.000,0.000,TOT (A)
Tommy Setford,ARS,GKP,3.9,0.00,0,0,0.000,0.000,TOT (A)
Max Dowman,ARS,MID,4.2,0.00,0,1,0.579,0.000,TOT (A)
Gabriel Martinelli Silva,ARS,MID,6.8,13.60,1,3,0.410,0.115,TOT (A)
Bukayo Saka,ARS,MID,9.8,22.00,4,7,0.373,0.340,TOT (A)
Leandro Trossard,ARS,MID,6.8,64.40,5,5,0.322,0.193,TOT (A)
Mikel Merino Zazón,ARS,MID,5.4,6.40,4,3,0.270,0.131,TOT (A)
Eberechi Eze,ARS,MID,7.2,21.80,4,3,0.208,0.136,TOT (A)
Ethan Nwaneri,ARS,MID,5.0,0.00,0,0,0.192,0.028,TOT (A)
Noni Madueke,ARS,MID,6.8,40.60,2,1,0.167,0.289,TOT (A)
Christian Nørgaard,ARS,MID,5.1,0.20,0,0,0.162,0.000,TOT (A)
Declan Rice,ARS,MID,7.6,72.00,4,7,0.147,0.241,TOT (A)
Martín Zubimendi Ibáñez,ARS,MID,5.3,65.40,5,1,0.106,0.072,TOT (A)
Martin Ødegaard,ARS,MID,7.8,26.20,1,5,0.086,0.247,TOT (A)
Albert Sambi Lokonga,ARS,MID,4.5,0.00,0,0,0.000,0.000,TOT (A)
Andre Harriman-Annous,ARS,MID,4.4,0.00,0,0,0.000,0.000,TOT (A)
Fábio Ferreira Vieira,ARS,MID,5.4,0.00,0,0,0.000,0.000,TOT (A)
Ismeal Kabia,ARS,MID,4.5,0.00,0,0,0.000,0.000,TOT (A)
Ian Maatsen,AVL,DEF,4.2,71.00,0,0,0.077,0.147,LEE (H)
Tyrone Mings,AVL,DEF,4.3,39.00,0,1,0.052,0.022,LEE (H)
Pau Torres,AVL,DEF,4.3,50.80,0,1,0.047,0.001,LEE (H)
Matty Cash,AVL,DEF,4.9,72.00,3,2,0.043,0.095,LEE (H)
Lucas Digne,AVL,DEF,4.5,23.40,0,4,0.040,0.126,LEE (H)
Ezri Konsa Ngoyo,AVL,DEF,4.4,90.00,0,0,0.032,0.023,LEE (H)
Victor Lindelöf,AVL,DEF,4.5,1.40,0,1,0.003,0.097,LEE (H)
Lamare Bogarde,AVL,DEF,4.0,45.40,0,0,0.000,0.006,LEE (H)
Andrés García,AVL,DEF,3.9,0.00,0,0,0.000,0.000,LEE (H)
Leon Routh,AVL,DEF,4.0,0.00,0,0,0.000,0.000,LEE (H)
Lino da Cruz Sousa,AVL,DEF,3.8,0.00,0,0,0.000,0.000,LEE (H)
TJ Carroll,AVL,DEF,4.0,0.00,0,0,0.000,0.000,LEE (H)
Travis Patterson,AVL,DEF,3.9,0.00,0,0,0.000,0.000,LEE (H)
Triston Rowe,AVL,DEF,4.0,0.00,0,0,0.000,0.000,LEE (H)
Yasin Özcan,AVL,DEF,4.0,0.00,0,0,0.000,0.000,LEE (H)
Álex Moreno Lopera,AVL,DEF,4.0,0.00,0,0,0.000,0.000,LEE (H)
Ollie Watkins,AVL,FWD,8.6,67.60,8,2,0.501,0.060,LEE (H)
Tammy Abraham,AVL,FWD,6.0,36.33,0,0,0.424,0.052,LEE (H)
Zépiqueno Redmond,AVL,FWD,4.5,0.00,0,0,0.000,0.000,LEE (H)
Emiliano Martínez Romero,AVL,GKP,5.0,90.00,0,0,0.000,0.002,LEE (H)
Filip Marschall,AVL,GKP,4.0,0.00,0,0,0.000,0.000,LEE (H)
James Wright,AVL,GKP,3.9,0.00,0,0,0.000,0.000,LEE (H)
Joe Gauci,AVL,GKP,4.0,0.00,0,0,0.000,0.000,LEE (H)
Marco Bizot,AVL,GKP,4.2,0.00,0,0,0.000,0.000,LEE (H)
Ronnie Hollingshead,AVL,GKP,4.0,0.00,0,0,0.000,0.000,LEE (H)
Sam Proctor,AVL,GKP,3.9,0.00,0,0,0.000,0.000,LEE (H)
Donyell Malen,AVL,MID,5.1,0.00,4,2,0.711,0.055,LEE (H)
Ross Barkley,AVL,MID,4.8,8.60,1,1,0.259,0.274,LEE (H)
Emiliano Buendía Stati,AVL,MID,5.3,75.60,5,2,0.201,0.112,LEE (H)
Morgan Rogers,AVL,MID,7.6,90.00,8,5,0.177,0.209,LEE (H)
Leon Bailey,AVL,MID,5.5,26.00,0,0,0.135,0.227,LEE (H)
John McGinn,AVL,MID,5.4,3.40,3,2,0.129,0.108,LEE (H)
Jadon Sancho,AVL,MID,5.8,53.80,0,1,0.115,0.230,LEE (H)
Youri Tielemans,AVL,MID,5.9,32.60,0,4,0.111,0.183,LEE (H)
George Hemmings,AVL,MID,4.5,3.40,0,0,0.092,0.000,LEE (H)
Boubacar Kamara,AVL,MID,4.9,0.00,1,3,0.066,0.046,LEE (H)
Amadou Onana,AVL,MID,4.8,50.40,2,0,0.060,0.027,LEE (H)
Douglas Luiz Soares de Paulo,AVL,MID,4.9,49.80,0,1,0.037,0.166,LEE (H)
Alysson Edward Franco da Rocha dos Santos,AVL,MID,5.0,3.20,0,0,0.000,0.000,LEE (H)
Ben Broggio,AVL,MID,4.4,0.00,0,0,0.000,0.000,LEE (H)
Bradley Burrowes,AVL,MID,4.4,0.00,0,0,0.000,0.000,LEE (H)
Enzo Barrenechea,AVL,MID,5.0,0.00,0,0,0.000,0.000,LEE (H)
Harvey Elliott,AVL,MID,5.1,2.60,0,0,0.000,0.000,LEE (H)
Jamaldeen Jimoh-Aloba,AVL,MID,4.5,0.00,0,0,0.000,0.000,LEE (H)
Kadan Young,AVL,MID,4.3,0.00,0,0,0.000,0.000,LEE (H)
Leander Dendoncker,AVL,MID,4.5,0.00,0,0,0.000,0.000,LEE (H)
Lewis Dobbin,AVL,MID,5.0,0.00,0,0,0.000,0.000,LEE (H)
Samuel Iling-Junior,AVL,MID,5.5,0.00,0,0,0.000,0.000,LEE (H)
Maxim De Cuyper,BHA,DEF,4.3,28.20,2,0,0.126,0.195,BRE (A)
Joël Veltman,BHA,DEF,4.3,40.00,1,0,0.111,0.029,BRE (A)
Jan Paul van Hecke,BHA,DEF,4.4,66.00,3,2,0.106,0.022,BRE (A)
Ferdi Kadıoğlu,BHA,DEF,4.4,89.60,0,1,0.061,0.097,BRE (A)
Lewis Dunk,BHA,DEF,4.5,90.00,0,1,0.033,0.020,BRE (A)
Olivier Boscagli,BHA,DEF,4.2,41.40,0,1,0.005,0.017,BRE (A)
Adam Webster,BHA,DEF,4.4,0.00,0,0,0.000,0.000,BRE (A)
Charlie Tasker,BHA,DEF,3.8,0.00,0,0,0.000,0.000,BRE (A)
Diego Coppola,BHA,DEF,4.2,0.00,0,0,0.000,0.000,BRE (A)
Eiran Cashin,BHA,DEF,4.0,0.00,0,0,0.000,0.000,BRE (A)
Freddie Simmonds,BHA,DEF,4.0,0.00,0,0,0.000,0.000,BRE (A)
Igor Julio dos Santos de Paulo,BHA,DEF,4.5,0.00,0,0,0.000,0.000,BRE (A)
Jacob Slater,BHA,DEF,4.0,0.00,0,0,0.000,0.000,BRE (A)
Pervis Estupiñán Tenorio,BHA,DEF,4.5,0.00,0,0,0.000,0.000,BRE (A)
Tariq Lamptey,BHA,DEF,4.4,0.00,0,0,0.000,0.000,BRE (A)
Charalampos Kostoulas,BHA,FWD,4.8,25.00,2,1,0.639,0.231,BRE (A)
Danny Welbeck,BHA,FWD,6.1,66.20,8,0,0.520,0.046,BRE (A)
Stefanos Tzimas,BHA,FWD,5.2,0.00,1,1,0.507,0.312,BRE (A)
Evan Ferguson,BHA,FWD,5.5,0.00,0,0,0.000,0.000,BRE (A)
Bart Verbruggen,BHA,GKP,4.5,90.00,0,0,0.000,0.003,BRE (A)
Carl Rushworth,BHA,GKP,4.0,0.00,0,0,0.000,0.000,BRE (A)
Jason Steele,BHA,GKP,4.2,0.00,0,0,0.000,0.000,BRE (A)
Kjell Scherpen,BHA,GKP,4.0,0.00,0,0,0.000,0.000,BRE (A)
Tom McGill,BHA,GKP,3.9,0.00,0,0,0.000,0.000,BRE (A)
Matt O'Riley,BHA,MID,5.5,1.60,1,0,0.589,0.088,BRE (A)
Diego Gómez Amarilla,BHA,MID,4.9,48.80,3,0,0.265,0.072,BRE (A)
Brajan Gruda,BHA,MID,5.4,13.00,1,1,0.223,0.153,BRE (A)
James Milner,BHA,MID,4.9,15.60,1,1,0.220,0.130,BRE (A)
Yankuba Minteh,BHA,MID,5.6,18.20,1,8,0.168,0.212,BRE (A)
Mitoma Kaoru,BHA,MID,6.1,88.00,2,1,0.167,0.148,BRE (A)
Georginio Rutter,BHA,MID,5.6,33.20,2,4,0.139,0.185,BRE (A)
Yasin Ayari,BHA,MID,4.8,36.00,3,3,0.102,0.053,BRE (A)
Pascal Groß,BHA,MID,5.5,89.40,1,0,0.093,0.197,BRE (A)
Jack Hinshelwood,BHA,MID,5.1,32.60,1,2,0.093,0.042,BRE (A)
Mats Wieffer,BHA,MID,4.9,0.00,0,4,0.085,0.205,BRE (A)
Tom Watson,BHA,MID,4.8,0.00,0,0,0.051,0.000,BRE (A)
Carlos Baleba,BHA,MID,4.5,57.00,0,0,0.025,0.007,BRE (A)
Abdallah Sima,BHA,MID,5.4,0.00,0,0,0.000,0.000,BRE (A)
Adrian Mazilu,BHA,MID,4.5,0.00,0,0,0.000,0.000,BRE (A)
Andrew Moran,BHA,MID,4.5,0.00,0,0,0.000,0.000,BRE (A)
Harry Howell,BHA,MID,4.5,15.80,0,0,0.000,0.000,BRE (A)
Jeremy Sarmiento Morante,BHA,MID,4.9,0.00,0,0,0.000,0.000,BRE (A)
Joe Knight,BHA,MID,4.4,0.00,0,0,0.000,0.000,BRE (A)
Julio Enciso Espínola,BHA,MID,5.4,0.00,0,0,0.000,0.000,BRE (A)
Malick Yalcouyé,BHA,MID,5.0,0.00,0,0,0.000,0.000,BRE (A)
Nehemiah Oriola,BHA,MID,4.5,0.00,0,0,0.000,0.000,BRE (A)
Solly March,BHA,MID,5.8,0.00,0,0,0.000,0.000,BRE (A)
Veljko Milosavljevic,BOU,DEF,4.4,0.20,0,0,0.089,0.017,WHU (A)
Álex Jiménez Sánchez,BOU,DEF,4.5,86.80,1,2,0.053,0.049,WHU (A)
Marcos Senesi Barón,BOU,DEF,4.8,90.00,0,4,0.048,0.161,WHU (A)
James Hill,BOU,DEF,4.0,90.00,0,3,0.015,0.089,WHU (A)
Adrien Truffert,BOU,DEF,4.5,90.00,0,2,0.014,0.068,WHU (A)
Bafodé Diakité,BOU,DEF,4.2,2.40,0,0,0.001,0.013,WHU (A)
Adam Smith,BOU,DEF,4.4,40.80,0,1,0.000,0.054,WHU (A)
Chris Mepham,BOU,DEF,4.0,0.00,0,0,0.000,0.000,WHU (A)
Illia Zabarnyi,BOU,DEF,5.0,0.00,0,0,0.000,0.000,WHU (A)
Julio Soler Barreto,BOU,DEF,4.0,0.00,0,0,0.000,0.000,WHU (A)
Julián Araujo Zúñiga,BOU,DEF,3.8,0.00,0,0,0.000,0.000,WHU (A)
Matai Akinmboni,BOU,DEF,3.8,0.00,0,0,0.000,0.000,WHU (A)
Owen Bevan,BOU,DEF,3.8,0.00,0,0,0.000,0.000,WHU (A)
Enes Ünal,BOU,FWD,5.4,7.80,1,0,0.972,0.000,WHU (A)
Junior Kroupi,BOU,FWD,4.7,60.00,8,0,0.453,0.061,WHU (A)
Francisco Evanilson de Lima Barbosa,BOU,FWD,7.0,82.00,5,3,0.364,0.046,WHU (A)
Daniel Adu-Adjei,BOU,FWD,4.4,0.00,0,0,0.000,0.000,WHU (A)
Alex Paulsen,BOU,GKP,4.0,0.00,0,0,0.000,0.000,WHU (A)
Callan McKenna,BOU,GKP,3.9,0.00,0,0,0.000,0.000,WHU (A)
Christos Mandas,BOU,GKP,4.0,0.00,0,0,0.000,0.000,WHU (A)
Fraser Forster,BOU,GKP,4.0,0.00,0,0,0.000,0.000,WHU (A)
Norberto Murara Neto,BOU,GKP,4.5,0.00,0,0,0.000,0.000,WHU (A)
Will Dennis,BOU,GKP,4.0,0.00,0,0,0.000,0.000,WHU (A)
Đorđe Petrović,BOU,GKP,4.5,90.00,0,0,0.000,0.000,WHU (A)
David Brooks,BOU,MID,5.0,2.60,1,2,0.449,0.323,WHU (A)
Amine Adli,BOU,MID,5.4,80.80,3,2,0.382,0.117,WHU (A)
Ryan Christie,BOU,MID,4.9,33.40,1,1,0.297,0.189,WHU (A)
Marcus Tavernier,BOU,MID,5.3,14.00,5,3,0.245,0.138,WHU (A)
Rayan Vitor Simplício Rocha,BOU,MID,5.5,66.00,2,1,0.227,0.327,WHU (A)
Justin Kluivert,BOU,MID,7.0,0.00,2,0,0.218,0.227,WHU (A)
Alex Tóth,BOU,MID,5.0,16.50,0,0,0.136,0.153,WHU (A)
Alex Scott,BOU,MID,5.0,90.00,2,2,0.109,0.062,WHU (A)
Tyler Adams,BOU,MID,4.9,0.00,2,1,0.062,0.005,WHU (A)
Lewis Cook,BOU,MID,4.9,74.00,0,1,0.006,0.037,WHU (A)
Ben Gannon-Doak,BOU,MID,4.8,0.00,0,1,0.000,0.000,WHU (A)
Ben Winterburn,BOU,MID,4.5,0.00,0,0,0.000,0.000,WHU (A)
Charlie Stevens,BOU,MID,4.5,0.00,0,0,0.000,0.000,WHU (A)
Dominic Sadi,BOU,MID,4.5,0.00,0,0,0.000,0.000,WHU (A)
Hamed Traorè,BOU,MID,4.5,0.00,0,1,0.000,0.000,WHU (A)
Luis Sinisterra Lucumí,BOU,MID,5.0,0.00,0,0,0.000,0.000,WHU (A)
Malcom DaCosta,BOU,MID,4.5,0.00,0,0,0.000,0.000,WHU (A)
Philip Billing,BOU,MID,4.9,0.00,0,0,0.000,0.000,WHU (A)
Remy Rees-Dottin,BOU,MID,4.3,0.00,0,0,0.000,0.000,WHU (A)
Romain Faivre,BOU,MID,4.5,0.00,0,0,0.000,0.000,WHU (A)
Zain Silcott-Duberry,BOU,MID,4.4,0.00,0,0,0.000,0.000,WHU (A)
Keane Lewis-Potter,BRE,DEF,4.8,36.40,3,1,0.160,0.114,BHA (H)
Sepp van den Berg,BRE,DEF,4.5,64.60,0,1,0.111,0.046,BHA (H)
Nathan Collins,BRE,DEF,5.0,42.00,1,2,0.101,0.079,BHA (H)
Aaron Hickey,BRE,DEF,4.0,7.60,0,0,0.090,0.102,BHA (H)
Kristoffer Ajer,BRE,DEF,4.4,79.20,0,2,0.069,0.054,BHA (H)
Michael Kayode,BRE,DEF,4.5,88.00,0,1,0.012,0.085,BHA (H)
Rico Henry,BRE,DEF,4.3,82.00,0,1,0.012,0.013,BHA (H)
Benjamin Arthur,BRE,DEF,3.8,0.00,0,0,0.000,0.000,BHA (H)
Benjamin Fredrick,BRE,DEF,4.0,0.00,0,0,0.000,0.000,BHA (H)
Ethan Pinnock,BRE,DEF,4.2,0.00,0,0,0.000,0.000,BHA (H)
Jayden Meghoma,BRE,DEF,4.0,0.00,0,0,0.000,0.000,BHA (H)
Kim Ji-soo,BRE,DEF,3.9,0.00,0,0,0.000,0.000,BHA (H)
Mads Roerslev Rasmussen,BRE,DEF,4.5,0.00,0,0,0.000,0.000,BHA (H)
Igor Thiago Nascimento Rodrigues,BRE,FWD,7.0,90.00,17,1,0.595,0.041,BHA (H)
Iwan Morgan,BRE,FWD,4.4,0.00,0,0,0.000,0.000,BHA (H)
Kaye Furo,BRE,FWD,4.5,0.00,0,0,0.000,0.000,BHA (H)
Caoimhín Kelleher,BRE,GKP,4.6,90.00,0,0,0.000,0.002,BHA (H)
Ellery Balcombe,BRE,GKP,3.9,0.00,0,0,0.000,0.000,BHA (H)
Hákon Rafn Valdimarsson,BRE,GKP,3.9,0.00,0,0,0.000,0.000,BHA (H)
Julian Eyestone,BRE,GKP,3.9,0.00,0,0,0.000,0.000,BHA (H)
Matthew Cox,BRE,GKP,3.9,0.00,0,0,0.000,0.000,BHA (H)
Reiss Nelson,BRE,MID,4.8,0.00,0,0,1.134,0.000,BHA (H)
Romelle Donovan,BRE,MID,4.4,2.20,0,0,1.021,0.481,BHA (H)
Kevin Schade,BRE,MID,6.9,42.40,6,4,0.385,0.191,BHA (H)
Dango Ouattara,BRE,MID,5.8,61.00,5,5,0.347,0.162,BHA (H)
Mikkel Damsgaard,BRE,MID,5.6,26.40,1,3,0.094,0.328,BHA (H)
Mathias Jensen,BRE,MID,4.9,86.20,2,2,0.089,0.232,BHA (H)
Yehor Yarmoliuk,BRE,MID,5.0,61.20,1,2,0.057,0.052,BHA (H)
Vitaly Janelt,BRE,MID,4.9,90.00,1,4,0.051,0.273,BHA (H)
Jordan Henderson,BRE,MID,5.0,28.00,1,3,0.033,0.154,BHA (H)
Frank Onyeka,BRE,MID,4.8,0.00,0,2,0.000,0.491,BHA (H)
Antoni Milambo,BRE,MID,5.2,0.00,0,0,0.000,0.000,BHA (H)
Fábio Freitas Gouveia Carvalho,BRE,MID,4.7,0.00,1,0,0.000,0.000,BHA (H)
Gustavo Nunes Fernandes Gomes,BRE,MID,4.9,0.00,0,0,0.000,0.000,BHA (H)
Josh Dasilva,BRE,MID,4.9,0.00,0,0,0.000,0.000,BHA (H)
Luka Bentt,BRE,MID,4.5,0.00,0,0,0.000,0.000,BHA (H)
Myles Peart-Harris,BRE,MID,4.4,0.00,0,0,0.000,0.000,BHA (H)
Paris Maghoma,BRE,MID,4.5,0.00,0,0,0.000,0.000,BHA (H)
Ryan Trevitt,BRE,MID,4.5,0.00,0,0,0.000,0.000,BHA (H)
Yunus Emre Konak,BRE,MID,4.3,0.00,0,0,0.000,0.000,BHA (H)
Oliver Sonne,BUR,DEF,3.8,0.00,1,0,0.227,0.016,CHE (A)
Axel Tuanzebe,BUR,DEF,3.9,45.00,1,0,0.054,0.000,CHE (A)
Hjalmar Ekdal,BUR,DEF,3.9,3.20,0,0,0.040,0.012,CHE (A)
Lucas Pires Silva,BUR,DEF,3.8,72.00,0,0,0.032,0.099,CHE (A)
Bashir Humphreys,BUR,DEF,3.9,90.00,0,2,0.022,0.067,CHE (A)
Maxime Estève,BUR,DEF,3.9,86.60,0,0,0.010,0.032,CHE (A)
Quilindschy Hartman,BUR,DEF,4.0,0.00,0,5,0.008,0.119,CHE (A)
Kyle Walker,BUR,DEF,4.4,90.00,0,2,0.003,0.051,CHE (A)
Connor Roberts,BUR,DEF,4.4,0.00,0,0,0.000,0.000,CHE (A)
Hannes Delcroix,BUR,DEF,3.8,0.00,0,0,0.000,0.000,CHE (A)
Joe Worrall,BUR,DEF,3.8,18.00,0,0,0.000,0.000,CHE (A)
Jordan Beyer,BUR,DEF,3.9,0.00,0,0,0.000,0.000,CHE (A)
Owen Dodgson,BUR,DEF,4.0,0.00,0,0,0.000,0.000,CHE (A)
Shurandy Sambo,BUR,DEF,4.0,0.00,0,0,0.000,0.000,CHE (A)
Ashley Barnes,BUR,FWD,4.2,0.00,0,0,1.484,0.000,CHE (A)
Zian Flemming,BUR,FWD,5.3,33.00,5,0,0.521,0.033,CHE (A)
Armando Broja,BUR,FWD,5.2,35.80,1,1,0.285,0.059,CHE (A)
Lyle Foster,BUR,FWD,4.9,27.80,3,1,0.225,0.071,CHE (A)
Michael Obafemi,BUR,FWD,4.4,0.00,0,0,0.000,0.000,CHE (A)
Zeki Amdouni,BUR,FWD,4.8,0.00,0,0,0.000,0.000,CHE (A)
Martin Dúbravka,BUR,GKP,4.0,90.00,0,0,0.000,0.001,CHE (A)
Etienne Green,BUR,GKP,4.0,0.00,0,0,0.000,0.000,CHE (A)
Max Weiß,BUR,GKP,4.3,0.00,0,0,0.000,0.000,CHE (A)
Václav Hladký,BUR,GKP,3.9,0.00,0,0,0.000,0.000,CHE (A)
Marcus Edwards,BUR,MID,4.7,75.80,1,3,0.222,0.256,CHE (A)
Jaidon Anthony,BUR,MID,5.0,82.80,6,2,0.175,0.103,CHE (A)
Jacob Bruun Larsen,BUR,MID,5.3,10.20,0,1,0.128,0.126,CHE (A)
Lesley Ugochukwu,BUR,MID,5.0,85.60,3,2,0.112,0.013,CHE (A)
Loum Tchaouna,BUR,MID,4.9,9.00,1,1,0.101,0.036,CHE (A)
Josh Cullen,BUR,MID,4.9,0.00,2,2,0.060,0.107,CHE (A)
Hannibal Mejbri,BUR,MID,4.7,35.60,1,2,0.049,0.230,CHE (A)
Florentino Ibrain Morris Luís,BUR,MID,5.0,53.40,0,2,0.031,0.022,CHE (A)
Josh Laurent,BUR,MID,4.8,41.20,1,0,0.030,0.028,CHE (A)
James Ward-Prowse,BUR,MID,5.6,1.40,0,0,0.028,0.197,CHE (A)
Aaron Ramsey,BUR,MID,4.4,0.00,0,0,0.000,0.000,CHE (A)
Darko Churlinov,BUR,MID,4.9,0.00,0,0,0.000,0.000,CHE (A)
Enock Agyei,BUR,MID,4.7,0.00,0,0,0.000,0.000,CHE (A)
George Brierley,BUR,MID,4.5,0.00,0,0,0.000,0.000,CHE (A)
Jaydon Banel,BUR,MID,4.5,0.00,0,0,0.000,0.000,CHE (A)
Luca Koleosho,BUR,MID,5.0,0.00,0,0,0.000,0.000,CHE (A)
Manuel Benson Hedilazio,BUR,MID,5.4,0.00,0,0,0.000,0.000,CHE (A)
Mike Trésor Ndayishimiye,BUR,MID,4.4,0.00,0,0,0.000,0.000,CHE (A)
Oliver Pimlott,BUR,MID,4.5,0.00,0,0,0.000,0.000,CHE (A)
Oluwaseun Adewumi,BUR,MID,4.5,0.00,0,0,0.000,0.000,CHE (A)
Malo Gusto,CHE,DEF,4.9,52.00,2,2,0.112,0.111,BUR (H)
Josh Acheampong,CHE,DEF,3.7,19.60,1,0,0.103,0.010,BUR (H)
Marc Cucurella Saseta,CHE,DEF,6.1,72.00,1,3,0.078,0.130,BUR (H)
Reece James,CHE,DEF,5.6,34.60,2,5,0.061,0.203,BUR (H)
Trevoh Chalobah,CHE,DEF,5.8,90.00,3,1,0.056,0.007,BUR (H)
Jorrel Hato,CHE,DEF,4.6,22.00,0,0,0.050,0.125,BUR (H)
Wesley Fofana,CHE,DEF,4.4,39.00,0,1,0.016,0.055,BUR (H)
Tosin Adarabioyo,CHE,DEF,4.0,11.40,0,0,0.009,0.053,BUR (H)
Benoît Badiashile Mukinayi,CHE,DEF,4.4,27.00,0,0,0.000,0.011,BUR (H)
Aarón Anselmino,CHE,DEF,4.0,0.00,0,0,0.000,0.000,BUR (H)
Levi Samuels Colwill,CHE,DEF,4.7,0.00,0,0,0.000,0.000,BUR (H)
Mamadou Sarr,CHE,DEF,4.5,0.00,0,0,0.000,0.000,BUR (H)
Marc Guiu Paz,CHE,FWD,4.2,0.00,0,1,0.532,0.106,BUR (H)
Liam Delap,CHE,FWD,6.2,27.40,1,2,0.522,0.013,BUR (H)
João Pedro Junqueira de Jesus,CHE,FWD,7.7,73.20,10,8,0.419,0.079,BUR (H)
Nicolas Jackson,CHE,FWD,6.5,0.00,0,0,0.000,0.000,BUR (H)
Robert Lynch Sánchez,CHE,GKP,4.9,90.00,0,1,0.000,0.002,BUR (H)
Filip Jörgensen,CHE,GKP,4.3,0.00,0,0,0.000,0.000,BUR (H)
Gabriel Słonina,CHE,GKP,3.9,0.00,0,0,0.000,0.000,BUR (H)
Max Merrick,CHE,GKP,4.0,0.00,0,0,0.000,0.000,BUR (H)
Mike Penders,CHE,GKP,4.0,0.00,0,0,0.000,0.000,BUR (H)
Teddy Sharman-Lowe,CHE,GKP,4.0,0.00,0,0,0.000,0.000,BUR (H)
Cole Palmer,CHE,MID,10.6,66.00,8,2,0.638,0.076,BUR (H)
Enzo Fernández,CHE,MID,6.9,88.80,8,3,0.416,0.276,BUR (H)
Estêvão Almeida de Oliveira Gonçalves,CHE,MID,6.4,27.20,2,5,0.344,0.259,BUR (H)
Alejandro Garnacho Ferreyra,CHE,MID,6.4,26.00,1,3,0.252,0.260,BUR (H)
Andrey Nascimento dos Santos,CHE,MID,4.5,56.80,0,0,0.192,0.079,BUR (H)
Pedro Lomba Neto,CHE,MID,7.0,68.60,5,4,0.188,0.228,BUR (H)
Jamie Bynoe-Gittens,CHE,MID,6.0,8.20,0,2,0.177,0.193,BUR (H)
Moisés Caicedo Corozo,CHE,MID,5.7,86.40,3,1,0.055,0.089,BUR (H)
Christopher Nkunku,CHE,MID,5.9,0.00,0,0,0.000,0.000,BUR (H)
Dário Luís Essugo,CHE,MID,4.3,0.00,0,0,0.000,0.000,BUR (H)
Kendry Páez Andrade,CHE,MID,4.5,0.00,0,0,0.000,0.000,BUR (H)
Landon Emenalo,CHE,MID,4.5,0.00,0,0,0.000,0.000,BUR (H)
Mykhailo Mudryk,CHE,MID,4.9,0.00,0,0,0.000,0.000,BUR (H)
Roméo Lavia,CHE,MID,4.9,0.00,0,0,0.000,0.000,BUR (H)
Daniel Muñoz Mejía,CRY,DEF,5.9,65.20,3,3,0.110,0.186,WOL (H)
Maxence Lacroix,CRY,DEF,5.1,90.00,0,2,0.096,0.046,WOL (H)
Nathaniel Clyne,CRY,DEF,3.8,0.00,0,1,0.056,0.139,WOL (H)
Tyrick Mitchell,CRY,DEF,5.0,84.80,1,0,0.049,0.061,WOL (H)
Chris Richards,CRY,DEF,4.4,90.00,1,0,0.039,0.015,WOL (H)
Jaydee Canvot,CRY,DEF,4.5,12.80,0,0,0.019,0.000,WOL (H)
Borna Sosa,CRY,DEF,4.8,5.00,0,0,0.000,0.109,WOL (H)
Caleb Kporha,CRY,DEF,4.0,0.00,0,0,0.000,0.000,WOL (H)
Chadi Riad Dnanou,CRY,DEF,4.0,23.80,0,1,0.000,0.000,WOL (H)
Danny Imray,CRY,DEF,4.0,0.00,0,0,0.000,0.000,WOL (H)
Dean Benamar,CRY,DEF,4.0,0.00,0,0,0.000,0.000,WOL (H)
George King,CRY,DEF,4.0,0.00,0,0,0.000,0.000,WOL (H)
Rob Holding,CRY,DEF,4.0,0.00,0,0,0.000,0.000,WOL (H)
Jean-Philippe Mateta,CRY,FWD,7.5,34.80,8,0,0.599,0.051,WOL (H)
Christantus Uche,CRY,FWD,5.5,8.20,0,1,0.581,0.000,WOL (H)
Eddie Nketiah,CRY,FWD,5.4,0.00,2,0,0.442,0.218,WOL (H)
